Matchday,Team1,Team2,MatchNr
2021-03-10T18:30:00,Arminia Bielefeld,Werder Bremen,20. Spieltag
2021-03-12T20:30:00,FC Augsburg,Borussia Mönchengladbach,25. Spieltag
2021-03-13T15:30:00,1. FSV Mainz 05,SC Freiburg,25. Spieltag
2021-03-13T15:30:00,1. FC Union Berlin,1. FC Köln,25. Spieltag
2021-03-13T15:30:00,Werder Bremen,FC Bayern München,25. Spieltag
2021-03-13T15:30:00,VfL Wolfsburg,FC Schalke 04,25. Spieltag
2021-03-13T18:30:00,BV Borussia Dortmund 09,Hertha BSC,25. Spieltag
2021-03-14T13:30:00,Bayer Leverkusen,Arminia Bielefeld,25. Spieltag
2021-03-14T15:30:00,RB Leipzig,Eintracht Frankfurt,25. Spieltag
2021-03-14T18:00:00,VfB Stuttgart,TSG 1899 Hoffenheim,25. Spieltag
2021-03-19T20:30:00,Arminia Bielefeld,RB Leipzig,26. Spieltag
2021-03-20T15:30:00,FC Bayern München,VfB Stuttgart,26. Spieltag
2021-03-20T15:30:00,Eintracht Frankfurt,1. FC Union Berlin,26. Spieltag
2021-03-20T15:30:00,1. FC Köln,BV Borussia Dortmund 09,26. Spieltag
2021-03-20T15:30:00,Werder Bremen,VfL Wolfsburg,26. Spieltag
2021-03-20T18:30:00,FC Schalke 04,Borussia Mönchengladbach,26. Spieltag
2021-03-21T13:30:00,TSG 1899 Hoffenheim,1. FSV Mainz 05,26. Spieltag
2021-03-21T15:30:00,Hertha BSC,Bayer Leverkusen,26. Spieltag
2021-03-21T18:00:00,SC Freiburg,FC Augsburg,26. Spieltag
2021-04-03T15:30:00,FC Augsburg,TSG 1899 Hoffenheim,27. Spieltag
2021-04-03T15:30:00,Bayer Leverkusen,FC Schalke 04,27. Spieltag
2021-04-03T15:30:00,BV Borussia Dortmund 09,Eintracht Frankfurt,27. Spieltag
2021-04-03T15:30:00,1. FSV Mainz 05,Arminia Bielefeld,27. Spieltag
2021-04-03T15:30:00,VfL Wolfsburg,1. FC Köln,27. Spieltag
2021-04-03T18:30:00,RB Leipzig,FC Bayern München,27. Spieltag
2021-04-03T20:30:00,Borussia Mönchengladbach,SC Freiburg,27. Spieltag
2021-04-04T15:30:00,VfB Stuttgart,Werder Bremen,27. Spieltag
2021-04-04T18:00:00,1. FC Union Berlin,Hertha BSC,27. Spieltag
2021-04-09T20:30:00,Arminia Bielefeld,SC Freiburg,28. Spieltag
2021-04-10T15:30:00,FC Bayern München,1. FC Union Berlin,28. Spieltag
2021-04-10T15:30:00,Eintracht Frankfurt,VfL Wolfsburg,28. Spieltag
2021-04-10T15:30:00,Hertha BSC,Borussia Mönchengladbach,28. Spieltag
2021-04-10T15:30:00,Werder Bremen,RB Leipzig,28. Spieltag
2021-04-10T18:30:00,VfB Stuttgart,BV Borussia Dortmund 09,28. Spieltag
2021-04-11T15:30:00,FC Schalke 04,FC Augsburg,28. Spieltag
2021-04-11T18:00:00,1. FC Köln,1. FSV Mainz 05,28. Spieltag
2021-04-12T20:30:00,TSG 1899 Hoffenheim,Bayer Leverkusen,28. Spieltag
2021-04-17T15:30:00,FC Augsburg,Arminia Bielefeld,29. Spieltag
2021-04-17T15:30:00,Bayer Leverkusen,1. FC Köln,29. Spieltag
2021-04-17T15:30:00,BV Borussia Dortmund 09,Werder Bremen,29. Spieltag
2021-04-17T15:30:00,Borussia Mönchengladbach,Eintracht Frankfurt,29. Spieltag
2021-04-17T15:30:00,SC Freiburg,FC Schalke 04,29. Spieltag
2021-04-17T15:30:00,1. FSV Mainz 05,Hertha BSC,29. Spieltag
2021-04-17T15:30:00,RB Leipzig,TSG 1899 Hoffenheim,29. Spieltag
2021-04-17T15:30:00,1. FC Union Berlin,VfB Stuttgart,29. Spieltag
2021-04-17T15:30:00,VfL Wolfsburg,FC Bayern München,29. Spieltag
2021-04-21T20:00:00,Arminia Bielefeld,FC Schalke 04,30. Spieltag
2021-04-21T20:00:00,FC Bayern München,Bayer Leverkusen,30. Spieltag
2021-04-21T20:00:00,BV Borussia Dortmund 09,1. FC Union Berlin,30. Spieltag
2021-04-21T20:00:00,Eintracht Frankfurt,FC Augsburg,30. Spieltag
2021-04-21T20:00:00,Hertha BSC,SC Freiburg,30. Spieltag
2021-04-21T20:00:00,TSG 1899 Hoffenheim,Borussia Mönchengladbach,30. Spieltag
2021-04-21T20:00:00,1. FC Köln,RB Leipzig,30. Spieltag
2021-04-21T20:00:00,VfB Stuttgart,VfL Wolfsburg,30. Spieltag
2021-04-21T20:00:00,Werder Bremen,1. FSV Mainz 05,30. Spieltag
2021-04-24T15:30:00,FC Augsburg,1. FC Köln,31. Spieltag
2021-04-24T15:30:00,Bayer Leverkusen,Eintracht Frankfurt,31. Spieltag
2021-04-24T15:30:00,Borussia Mönchengladbach,Arminia Bielefeld,31. Spieltag
2021-04-24T15:30:00,SC Freiburg,TSG 1899 Hoffenheim,31. Spieltag
2021-04-24T15:30:00,1. FSV Mainz 05,FC Bayern München,31. Spieltag
2021-04-24T15:30:00,RB Leipzig,VfB Stuttgart,31. Spieltag
2021-04-24T15:30:00,FC Schalke 04,Hertha BSC,31. Spieltag
2021-04-24T15:30:00,1. FC Union Berlin,Werder Bremen,31. Spieltag
2021-04-24T15:30:00,VfL Wolfsburg,BV Borussia Dortmund 09,31. Spieltag
2021-05-08T15:30:00,FC Bayern München,Borussia Mönchengladbach,32. Spieltag
2021-05-08T15:30:00,BV Borussia Dortmund 09,RB Leipzig,32. Spieltag
2021-05-08T15:30:00,Eintracht Frankfurt,1. FSV Mainz 05,32. Spieltag
2021-05-08T15:30:00,Hertha BSC,Arminia Bielefeld,32. Spieltag
2021-05-08T15:30:00,TSG 1899 Hoffenheim,FC Schalke 04,32. Spieltag
2021-05-08T15:30:00,1. FC Köln,SC Freiburg,32. Spieltag
2021-05-08T15:30:00,VfB Stuttgart,FC Augsburg,32. Spieltag
2021-05-08T15:30:00,Werder Bremen,Bayer Leverkusen,32. Spieltag
2021-05-08T15:30:00,VfL Wolfsburg,1. FC Union Berlin,32. Spieltag
2021-05-15T15:30:00,Arminia Bielefeld,TSG 1899 Hoffenheim,33. Spieltag
2021-05-15T15:30:00,FC Augsburg,Werder Bremen,33. Spieltag
2021-05-15T15:30:00,Bayer Leverkusen,1. FC Union Berlin,33. Spieltag
2021-05-15T15:30:00,Borussia Mönchengladbach,VfB Stuttgart,33. Spieltag
2021-05-15T15:30:00,SC Freiburg,FC Bayern München,33. Spieltag
2021-05-15T15:30:00,Hertha BSC,1. FC Köln,33. Spieltag
2021-05-15T15:30:00,1. FSV Mainz 05,BV Borussia Dortmund 09,33. Spieltag
2021-05-15T15:30:00,RB Leipzig,VfL Wolfsburg,33. Spieltag
2021-05-15T15:30:00,FC Schalke 04,Eintracht Frankfurt,33. Spieltag
2021-05-21T15:30:00,FC Bayern München,FC Augsburg,34. Spieltag
2021-05-21T15:30:00,BV Borussia Dortmund 09,Bayer Leverkusen,34. Spieltag
2021-05-21T15:30:00,Eintracht Frankfurt,SC Freiburg,34. Spieltag
2021-05-21T15:30:00,TSG 1899 Hoffenheim,Hertha BSC,34. Spieltag
2021-05-21T15:30:00,1. FC Köln,FC Schalke 04,34. Spieltag
2021-05-21T15:30:00,VfB Stuttgart,Arminia Bielefeld,34. Spieltag
2021-05-21T15:30:00,1. FC Union Berlin,RB Leipzig,34. Spieltag
2021-05-21T15:30:00,Werder Bremen,Borussia Mönchengladbach,34. Spieltag
2021-05-21T15:30:00,VfL Wolfsburg,1. FSV Mainz 05,34. Spieltag
